absolute time,reward,time,,
1596257612.829,0.000,0.000,,
1596257612.883,0.000,0.054,,
1596257612.925,0.000,0.096,,
1596257612.938,0.000,0.108,,
1596257612.948,0.000,0.119,,
1596257612.974,0.000,0.144,,
1596257612.989,0.000,0.160,,
1596257613.031,0.000,0.201,,
1596257613.049,0.000,0.220,,
1596257613.069,0.000,0.240,,
1596257613.095,0.000,0.265,,
1596257613.111,0.000,0.281,,
1596257613.125,0.000,0.295,,
1596257613.173,0.000,0.344,,
1596257613.192,0.000,0.363,,
1596257613.215,0.000,0.386,,
1596257613.242,0.000,0.413,,
1596257613.260,0.000,0.431,,
1596257613.282,0.000,0.453,,
1596257613.308,0.000,0.478,,
1596257613.325,1.000,0.495,,
1596257613.356,2.000,0.527,,
1596257613.377,3.000,0.547,,
1596257613.398,4.000,0.569,,
1596257613.420,5.000,0.591,,
1596257613.438,6.000,0.608,,
1596257613.455,7.000,0.625,,
1596257613.477,8.000,0.648,,
1596257613.493,9.000,0.663,,
1596257613.525,10.000,0.696,,
1596257613.544,11.000,0.715,,
1596257613.566,12.000,0.737,,
1596257613.586,13.000,0.757,,
1596257613.607,14.000,0.778,,
1596257613.627,15.000,0.798,,
1596257613.648,16.000,0.819,,
1596257613.666,17.000,0.836,,
1596257613.684,18.000,0.855,,
1596257613.726,19.000,0.896,,
1596257613.744,20.000,0.915,,
1596257613.771,21.000,0.942,,
1596257613.790,22.000,0.961,,
1596257613.810,23.000,0.981,,
1596257613.829,24.000,1.000,,
1596257613.842,25.000,1.013,,
1596257613.872,26.000,1.043,,
1596257613.922,27.000,1.093,,
1596257613.961,28.000,1.132,,
1596257613.988,29.000,1.159,,
1596257614.004,30.000,1.174,,
1596257614.029,31.000,1.200,,
1596257614.081,32.000,1.251,,
1596257614.133,33.000,1.304,,
1596257614.184,34.000,1.354,,
1596257614.228,35.000,1.399,,
1596257614.250,36.000,1.420,,
1596257614.276,37.000,1.446,,
1596257614.319,38.000,1.490,,
1596257614.340,39.000,1.511,,
1596257614.376,40.000,1.547,,
1596257614.397,41.000,1.568,,
1596257614.422,42.000,1.592,,
1596257614.433,43.000,1.604,,
1596257614.464,44.000,1.635,,
1596257614.507,45.000,1.678,,
1596257614.527,46.000,1.697,,
1596257614.552,47.000,1.722,,
1596257614.586,48.000,1.757,,
1596257614.602,49.000,1.773,,
1596257614.617,50.000,1.788,,
1596257614.674,51.000,1.845,,
1596257614.694,52.000,1.865,,
1596257614.712,53.000,1.882,,
1596257614.729,54.000,1.899,,
1596257614.749,55.000,1.920,,
1596257614.804,56.000,1.975,,
1596257614.837,57.000,2.008,,
1596257614.856,58.000,2.027,,
1596257614.877,59.000,2.048,,
1596257614.916,60.000,2.087,,
1596257614.931,61.000,2.102,,
1596257614.946,62.000,2.117,,
1596257614.961,63.000,2.132,,
1596257614.985,64.000,2.155,,
1596257614.999,65.000,2.169,,
1596257615.019,66.000,2.190,,
1596257615.039,67.000,2.209,,
1596257615.060,68.000,2.231,,
1596257615.073,69.000,2.244,,
1596257615.089,70.000,2.260,,
1596257615.151,70.000,2.321,,
1596257615.182,70.000,2.353,,
1596257615.201,70.000,2.371,,
1596257615.220,70.000,2.391,,
1596257615.242,71.000,2.413,,
1596257615.266,71.000,2.436,,
1596257615.306,71.000,2.477,,
1596257615.332,71.000,2.502,,
1596257615.348,71.000,2.518,,
1596257615.360,71.000,2.531,,
1596257615.382,71.000,2.553,,
1596257615.398,71.000,2.569,,
1596257615.444,72.000,2.614,,
1596257615.460,72.000,2.630,,
1596257615.475,72.000,2.646,,
1596257615.543,72.000,2.714,,
1596257615.585,72.000,2.756,,
1596257615.596,72.000,2.767,,
1596257615.619,73.000,2.790,,
1596257615.642,74.000,2.812,,
1596257615.654,75.000,2.825,,
1596257615.665,76.000,2.836,,
1596257615.677,77.000,2.848,,
1596257615.718,78.000,2.889,,
1596257615.732,79.000,2.902,,
1596257615.748,80.000,2.919,,
1596257615.767,81.000,2.937,,
1596257615.801,82.000,2.972,,
1596257615.817,83.000,2.988,,
1596257615.830,84.000,3.001,,
1596257615.843,85.000,3.013,,
1596257615.856,86.000,3.026,,
1596257615.875,87.000,3.046,,
1596257615.898,88.000,3.068,,
1596257615.929,89.000,3.100,,
1596257615.941,90.000,3.112,,
1596257615.951,91.000,3.122,,
1596257615.976,92.000,3.147,,
1596257615.987,93.000,3.157,,
1596257615.998,94.000,3.169,,
1596257616.020,95.000,3.191,,
1596257616.039,96.000,3.210,,
1596257616.061,97.000,3.231,,
1596257616.077,98.000,3.248,,
1596257616.099,99.000,3.270,,
1596257616.167,100.000,3.337,,
1596257616.199,101.000,3.369,,
1596257616.222,102.000,3.393,,
1596257616.236,103.000,3.407,,
1596257616.269,104.000,3.440,,
1596257616.333,104.000,3.503,,
1596257616.373,104.000,3.544,,
1596257616.412,104.000,3.583,,
1596257616.430,104.000,3.601,,
1596257616.449,104.000,3.620,,
1596257616.465,104.000,3.636,,
1596257616.492,104.000,3.663,,
1596257616.515,104.000,3.686,,
1596257616.528,104.000,3.698,,
1596257616.586,104.000,3.756,,
1596257616.620,105.000,3.790,,
1596257616.633,105.000,3.803,,
1596257616.649,105.000,3.819,,
1596257616.720,105.000,3.890,,
1596257616.744,105.000,3.915,,
1596257616.757,105.000,3.927,,
1596257616.771,105.000,3.942,,
1596257616.798,105.000,3.968,,
1596257616.816,105.000,3.987,,
1596257616.832,105.000,4.003,,
1596257616.846,105.000,4.017,,
1596257616.922,105.000,4.092,,
1596257616.955,106.000,4.125,,
1596257616.986,107.000,4.157,,
1596257617.002,108.000,4.173,,
1596257617.024,109.000,4.194,,
1596257617.075,109.000,4.245,,
1596257617.095,109.000,4.265,,
1596257617.115,109.000,4.285,,
1596257617.146,110.000,4.316,,
1596257617.174,110.000,4.345,,
1596257617.194,110.000,4.365,,
1596257617.213,110.000,4.384,,
1596257617.230,110.000,4.401,,
1596257617.255,110.000,4.426,,
1596257617.268,110.000,4.439,,
1596257617.282,110.000,4.453,,
1596257617.298,110.000,4.468,,
1596257617.309,111.000,4.479,,
1596257617.321,111.000,4.491,,
1596257617.338,111.000,4.509,,
1596257617.384,111.000,4.555,,
1596257617.397,111.000,4.568,,
1596257617.408,111.000,4.579,,
1596257617.480,111.000,4.650,,
1596257617.529,111.000,4.700,,
1596257617.550,111.000,4.721,,
1596257617.563,111.000,4.734,,
1596257617.584,111.000,4.755,,
1596257617.621,111.000,4.791,,
1596257617.637,112.000,4.807,,
1596257617.650,112.000,4.820,,
1596257617.660,112.000,4.831,,
1596257617.684,112.000,4.855,,
1596257617.701,113.000,4.872,,
1596257617.711,114.000,4.882,,
1596257617.724,115.000,4.895,,
1596257617.754,116.000,4.924,,
1596257617.768,117.000,4.938,,
1596257617.784,118.000,4.954,,
1596257617.802,119.000,4.973,,
1596257617.834,119.000,5.004,,
1596257617.846,120.000,5.016,,
1596257617.869,121.000,5.040,,
1596257617.942,122.000,5.112,,
1596257617.959,123.000,5.130,,
1596257617.970,124.000,5.141,,
1596257617.984,125.000,5.155,,
1596257618.022,126.000,5.193,,
1596257618.074,127.000,5.245,,
1596257618.083,128.000,5.254,,
1596257618.147,129.000,5.317,,
1596257618.179,130.000,5.350,,
1596257618.203,131.000,5.373,,
1596257618.217,132.000,5.388,,
1596257618.277,133.000,5.448,,
1596257618.300,134.000,5.470,,
1596257618.309,135.000,5.480,,
1596257618.322,136.000,5.493,,
1596257618.341,136.000,5.511,,
1596257618.361,137.000,5.532,,
1596257618.375,138.000,5.545,,
1596257618.401,139.000,5.572,,
1596257618.417,140.000,5.588,,
1596257618.433,141.000,5.603,,
1596257618.462,142.000,5.633,,
1596257618.486,143.000,5.657,,
1596257618.496,144.000,5.666,,
1596257618.505,145.000,5.675,,
1596257618.516,146.000,5.686,,
1596257618.555,147.000,5.726,,
1596257618.569,148.000,5.739,,
1596257618.581,149.000,5.752,,
1596257618.593,150.000,5.763,,
1596257618.642,151.000,5.813,,
1596257618.661,152.000,5.831,,
1596257618.673,153.000,5.844,,
1596257618.685,154.000,5.856,,
1596257618.715,155.000,5.885,,
1596257618.797,156.000,5.968,,
1596257618.814,157.000,5.985,,
1596257618.826,157.000,5.996,,
1596257618.881,157.000,6.052,,
1596257618.894,157.000,6.065,,
1596257618.907,158.000,6.077,,
1596257618.918,159.000,6.089,,
1596257618.970,160.000,6.140,,
1596257618.996,161.000,6.166,,
1596257619.009,162.000,6.179,,
1596257619.019,163.000,6.190,,
1596257619.038,164.000,6.209,,
1596257619.116,164.000,6.287,,
1596257619.143,164.000,6.313,,
1596257619.156,165.000,6.326,,
1596257619.168,166.000,6.338,,
1596257619.201,167.000,6.372,,
1596257619.258,168.000,6.428,,
1596257619.296,169.000,6.467,,
1596257619.313,170.000,6.484,,
1596257619.335,171.000,6.506,,
1596257619.351,172.000,6.522,,
1596257619.374,173.000,6.545,,
1596257619.406,174.000,6.577,,
1596257619.432,175.000,6.603,,
1596257619.450,176.000,6.620,,
1596257619.469,177.000,6.639,,
1596257619.480,178.000,6.650,,
1596257619.494,179.000,6.664,,
1596257619.519,180.000,6.690,,
1596257619.530,181.000,6.701,,
1596257619.544,182.000,6.715,,
1596257619.566,183.000,6.736,,
1596257619.588,184.000,6.759,,
1596257619.597,184.000,6.768,,
1596257619.608,184.000,6.778,,
1596257619.663,184.000,6.833,,
1596257619.690,184.000,6.861,,
1596257619.703,185.000,6.874,,
1596257619.716,186.000,6.887,,
1596257619.736,187.000,6.907,,
1596257619.754,188.000,6.925,,
1596257619.771,189.000,6.941,,
1596257619.790,190.000,6.961,,
1596257619.802,191.000,6.973,,
1596257619.849,192.000,7.020,,
1596257619.882,193.000,7.052,,
1596257619.902,194.000,7.072,,
1596257619.922,195.000,7.093,,
1596257619.935,196.000,7.106,,
1596257619.953,197.000,7.124,,
1596257619.983,198.000,7.154,,
1596257620.023,199.000,7.193,,
1596257620.034,200.000,7.204,,
1596257620.058,201.000,7.228,,
1596257620.070,202.000,7.241,,
1596257620.085,202.000,7.256,,
1596257620.104,203.000,7.275,,
1596257620.119,204.000,7.289,,
1596257620.137,205.000,7.307,,
1596257620.211,206.000,7.381,,
1596257620.227,207.000,7.397,,
1596257620.238,208.000,7.409,,
1596257620.310,209.000,7.481,,
1596257620.339,210.000,7.510,,
1596257620.351,211.000,7.522,,
1596257620.363,212.000,7.533,,
1596257620.394,213.000,7.564,,
1596257620.415,214.000,7.586,,
1596257620.428,215.000,7.599,,
1596257620.451,216.000,7.621,,
1596257620.469,217.000,7.639,,
1596257620.482,218.000,7.653,,
1596257620.503,219.000,7.674,,
1596257620.570,220.000,7.741,,
1596257620.598,221.000,7.768,,
1596257620.619,222.000,7.790,,
1596257620.638,223.000,7.809,,
1596257620.652,224.000,7.823,,
1596257620.710,224.000,7.880,,
1596257620.733,224.000,7.904,,
1596257620.747,224.000,7.918,,
1596257620.758,224.000,7.929,,
1596257620.785,224.000,7.955,,
1596257620.842,224.000,8.013,,
1596257620.865,224.000,8.035,,
1596257620.877,224.000,8.048,,
1596257620.893,224.000,8.063,,
1596257620.922,224.000,8.093,,
1596257620.935,224.000,8.105,,
1596257620.945,224.000,8.116,,
1596257620.970,224.000,8.141,,
1596257620.986,224.000,8.157,,
1596257620.997,224.000,8.168,,
1596257621.006,224.000,8.177,,
1596257621.016,224.000,8.187,,
1596257621.040,224.000,8.211,,
1596257621.057,224.000,8.228,,
1596257621.113,224.000,8.284,,
1596257621.141,224.000,8.311,,
1596257621.161,224.000,8.332,,
1596257621.172,224.000,8.343,,
1596257621.185,224.000,8.356,,
1596257621.218,224.000,8.388,,
1596257621.241,224.000,8.411,,
1596257621.253,224.000,8.424,,
1596257621.267,224.000,8.437,,
1596257621.278,224.000,8.449,,
1596257621.316,224.000,8.487,,
1596257621.332,224.000,8.503,,
1596257621.342,224.000,8.513,,
1596257621.353,224.000,8.524,,
1596257621.369,224.000,8.539,,
1596257621.404,224.000,8.574,,
1596257621.428,224.000,8.599,,
1596257621.438,224.000,8.609,,
1596257621.451,224.000,8.621,,
1596257621.464,224.000,8.634,,
1596257621.480,224.000,8.651,,
1596257621.497,224.000,8.667,,
1596257621.524,224.000,8.694,,
1596257621.536,224.000,8.706,,
1596257621.549,224.000,8.719,,
1596257621.561,224.000,8.731,,
1596257621.588,224.000,8.759,,
1596257621.607,224.000,8.778,,
1596257621.634,224.000,8.805,,
1596257621.661,224.000,8.832,,
1596257621.679,224.000,8.850,,
1596257621.692,224.000,8.863,,
1596257621.705,224.000,8.875,,
1596257621.720,224.000,8.890,,
1596257621.766,224.000,8.937,,
1596257621.781,224.000,8.951,,
1596257621.792,224.000,8.963,,
1596257621.804,224.000,8.975,,
1596257621.877,224.000,9.048,,
1596257621.894,224.000,9.065,,
1596257621.905,224.000,9.076,,
1596257621.921,224.000,9.092,,
1596257621.953,224.000,9.123,,
1596257622.018,224.000,9.189,,
1596257622.048,224.000,9.218,,
1596257622.077,224.000,9.248,,
1596257622.090,224.000,9.260,,
1596257622.117,224.000,9.288,,
1596257622.131,224.000,9.302,,
1596257622.140,224.000,9.311,,
1596257622.175,224.000,9.346,,
1596257622.186,224.000,9.357,,
1596257622.197,224.000,9.368,,
1596257622.209,224.000,9.379,,
1596257622.254,224.000,9.424,,
1596257622.283,224.000,9.454,,
1596257622.298,224.000,9.469,,
1596257622.309,224.000,9.480,,
1596257622.352,224.000,9.523,,
1596257622.367,224.000,9.537,,
1596257622.378,224.000,9.549,,
1596257622.440,224.000,9.611,,
1596257622.467,224.000,9.638,,
1596257622.491,224.000,9.662,,
1596257622.502,224.000,9.673,,
1596257622.523,224.000,9.694,,
1596257622.537,224.000,9.707,,
1596257622.547,224.000,9.718,,
1596257622.563,224.000,9.734,,
1596257622.578,224.000,9.749,,
1596257622.597,224.000,9.768,,
1596257622.629,224.000,9.800,,
1596257622.655,224.000,9.825,,
1596257622.670,224.000,9.840,,
1596257622.680,224.000,9.851,,
1596257622.692,224.000,9.863,,
1596257622.716,224.000,9.887,,
1596257622.728,224.000,9.899,,
1596257622.739,224.000,9.910,,
1596257622.754,224.000,9.925,,
1596257622.786,224.000,9.957,,
1596257622.806,224.000,9.977,,
1596257622.815,224.000,9.985,,
1596257622.823,224.000,9.994,,
1596257622.853,224.000,10.024,,
1596257622.927,224.000,10.098,,
1596257622.944,224.000,10.115,,
1596257622.957,224.000,10.128,,
1596257622.968,224.000,10.138,,
1596257623.001,224.000,10.171,,
1596257623.043,224.000,10.213,,
1596257623.072,224.000,10.243,,
1596257623.090,224.000,10.261,,
1596257623.102,224.000,10.273,,
1596257623.177,224.000,10.348,,
1596257623.191,224.000,10.361,,
1596257623.200,224.000,10.371,,
1596257623.234,224.000,10.405,,
1596257623.253,225.000,10.423,,
1596257623.267,226.000,10.437,,
1596257623.340,227.000,10.511,,
1596257623.369,228.000,10.539,,
1596257623.387,229.000,10.557,,
1596257623.412,230.000,10.583,,
1596257623.430,231.000,10.601,,
1596257623.449,232.000,10.620,,
1596257623.491,233.000,10.662,,
1596257623.508,234.000,10.679,,
1596257623.570,235.000,10.741,,
1596257623.609,236.000,10.780,,
1596257623.624,237.000,10.795,,
1596257623.636,238.000,10.806,,
1596257623.646,239.000,10.817,,
1596257623.675,240.000,10.846,,
1596257623.698,241.000,10.868,,
1596257623.712,242.000,10.882,,
1596257623.733,243.000,10.904,,
1596257623.748,244.000,10.918,,
1596257623.765,245.000,10.935,,
1596257623.775,246.000,10.945,,
1596257623.804,247.000,10.974,,
1596257623.825,248.000,10.996,,
1596257623.841,249.000,11.012,,
1596257623.859,250.000,11.030,,
1596257623.944,251.000,11.115,,
1596257623.973,252.000,11.143,,
1596257623.991,253.000,11.162,,
1596257624.005,254.000,11.175,,
1596257624.015,255.000,11.185,,
1596257624.040,256.000,11.210,,
1596257624.050,257.000,11.221,,
1596257624.077,258.000,11.248,,
1596257624.110,259.000,11.281,,
1596257624.123,260.000,11.294,,
1596257624.143,261.000,11.314,,
1596257624.160,262.000,11.331,,
1596257624.189,263.000,11.360,,
1596257624.201,263.000,11.372,,
1596257624.212,263.000,11.383,,
1596257624.238,263.000,11.409,,
1596257624.310,263.000,11.481,,
1596257624.329,264.000,11.500,,
1596257624.340,265.000,11.511,,
1596257624.356,266.000,11.527,,
1596257624.413,267.000,11.584,,
1596257624.435,268.000,11.606,,
1596257624.447,269.000,11.618,,
1596257624.460,270.000,11.631,,
1596257624.474,271.000,11.645,,
1596257624.510,272.000,11.681,,
1596257624.526,273.000,11.697,,
1596257624.577,274.000,11.748,,
